Latitude,  Aircraft.Damage,  Longitude
38.035277,  2, 0
42.217778,  2, 0
58.727223,  2, 0
28.5325,  2, 0
32.739722,  2, 0
20.773056,  2, 0
-23.280556,  3, 0
42.8075,  2, 0
62.201389,  2, 0
61.838333,  2, 0
58.732778,  2, 0
27.456389,  2, 0
36.589444,  2, 0
28.467223,  2, 0
30.072223,  2, 0
42.625278,  3, 0
34.207222,  2, 0
38.797222,  2, 0
1.851667,  2, 0
48.032778,  2, 0
33.200556,  2, 0
36.695833,  3, 0
43.678056,  2, 0
40.799444,  2, 0
-35.4,  2, 0
21.1,  2, 0
38.813889,  2, 0
39.122778,  1, 0
34.984444,  2, 0
-23.214444,  3, 0
-16,  3, 0
42.175834,  2, 0
43.035555,  2, 0
37.332778,  2, 0
41.33,  2, 0
40.841666,  2, 0
33.166667,  2, 0
33.221945,  2, 0
32.567223,  2, 0
33.284444,  2, 0
42.259167,  2, 0
46.023889,  3, 0
42.190555,  2, 0
42.5575,  2, 0
41.196666,  2, 0
36.03,  2, 0
41.108611,  2, 0
37.491944,  2, 0
43.592222,  2, 0
38.361944,  2, 0
40.099722,  2, 0
1.483333,  3, 0
31.454722,  2, 0
30.966667,  3, 0
38.804167,  2, 0
61.535,  1, 0
38.988889,  2, 0
30.5325,  2, 0
48.310556,  2, 0
40.113056,  2, 0
38.963611,  2, 0
37.886389,  2, 0
65.6975,  2, 0
-23.891111,  2, 0
31.642222,  3, 0
41.945277,  2, 0
38.97,  2, 0
44.6875,  2, 0
57.779723,  2, 0
28.5,  2, 0
35.12,  2, 0
33.900278,  3, 0
28.347222,  2, 0
34.95,  2, 0
38.289722,  2, 0
44.82,  2, 0
29.916945,  2, 0
27.713611,  2, 0
32.112222,  2, 0
34.455278,  2, 0
40.869167,  2, 0
50.729723,  2, 0
34.590277,  2, 0
32.821111,  2, 0
38.293889,  2, 0
34.213889,  2, 0
39.568611,  2, 0
33.015556,  3, 0
37.026389,  2, 0
37.768889,  2, 0
29.69,  2, 0
45.471111,  2, 0
36.192222,  2, 0
38.293611,  3, 0
30.038611,  1, 0
36.933056,  3, 0
77.351111,  2, 0
30.675278,  2, 0
36.7325,  2, 0
39.403333,  2, 0
36.345555,  3, 0
23.174445,  2, 0
47.452778,  2, 0
33.519723,  2, 0
39.99,  2, 0
27.490277,  2, 0
42.010278,  2, 0
46.502222,  2, 0
32.289444,  2, 0
37.509167,  1, 0
30.071111,  2, 0
40.334166,  2, 0
25.438055,  3, 0
