@relation 'AT: 2016_New_Coder_Survey.arff-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-R3-4-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.EM -I 100 -N 2 -X 10 -max -1 -ll-cv 1.0E-6 -ll-iter 1.0E-6 -M 1.0E-6 -K 10 -num-slots 1 -S 100'

@attribute '0.72 Income+0.685Age+0.093IsSoftwareDev-0.062IsEthnicMinority' numeric
@attribute -0.767IsSoftwareDev+0.568IsEthnicMinority+0.274Age-0.113Income numeric
@attribute Gender numeric
@attribute cluster {cluster1,cluster2}

@data
-0.351896,1.613723,1,cluster2
0.176677,-0.022253,1,cluster2
1.040668,0.267794,1,cluster2
-1.272341,1.379734,1,cluster2
-1.273281,-1.441539,0,cluster1
-1.591101,1.476794,1,cluster2
1.261145,-1.696004,1,cluster1
0.753285,-0.955352,1,cluster2
0.983177,-1.132988,1,cluster1
1.376404,1.065514,0,cluster2
3.977606,-1.506591,1,cluster2
1.343891,2.293315,1,cluster2
0.139582,-1.190056,1,cluster1
-0.64254,1.564688,1,cluster2
0.111246,-1.280093,1,cluster1
0.474441,-1.336865,1,cluster1
-0.151281,-1.475223,1,cluster1
-0.900889,0.051719,0,cluster2
2.553381,-0.953332,1,cluster2
0.241508,0.251013,1,cluster2
-1.074328,0.173296,1,cluster2
0.571687,-0.926966,1,cluster2
-1.28028,1.522675,0,cluster2
0.952019,0.423351,1,cluster2
2.395602,-1.353769,1,cluster2
-0.916987,0.101469,1,cluster2
0.132681,0.409724,1,cluster2
-1.12388,-1.370426,1,cluster1
0.253746,0.3908,1,cluster2
-0.945421,1.375866,1,cluster2
0.423324,0.45876,0,cluster2
0.442245,-1.237366,1,cluster1
-0.618185,0.243695,0,cluster2
1.165813,0.295465,1,cluster2
4.132782,0.776354,1,cluster2
-0.034295,-1.540743,1,cluster1
-0.188719,-1.044271,1,cluster2
-1.391159,0.175588,1,cluster2
-0.069094,0.441265,1,cluster2
0.451441,0.312665,1,cluster2
1.50111,0.62092,1,cluster2
-0.18608,0.506784,1,cluster2
-1.203552,0.099029,1,cluster2
2.343609,-0.502673,1,cluster2
-0.529536,0.088138,0,cluster2
-1.639517,0.025477,1,cluster2
0.407348,2.109076,1,cluster2
0.407445,0.744642,1,cluster2
1.858968,-1.175419,0,cluster2
-1.09586,-0.152087,0,cluster2
0.850093,-1.017718,1,cluster2
-0.542909,-0.144054,0,cluster2
-0.190378,0.224056,1,cluster2
0.580787,1.987498,1,cluster2
0.185098,0.354298,1,cluster2
0.875388,0.482563,1,cluster2
0.947842,1.741189,1,cluster2
-0.065015,0.48786,1,cluster2
-0.977618,1.475365,1,cluster2
-0.538255,-1.556434,1,cluster1
1.642255,1.963277,1,cluster2
2.876504,1.10908,1,cluster2
-0.137785,0.357535,0,cluster2
-0.772923,-1.566985,1,cluster1
-0.630423,0.103908,0,cluster2
-1.087604,-1.42333,1,cluster1
2.054402,2.465652,1,cluster2
0.227915,-0.217311,1,cluster2
-0.481241,-0.061111,1,cluster2
-0.610027,0.336886,1,cluster2
-0.01479,0.243843,1,cluster2
-0.942282,-1.398812,1,cluster1
0.306022,1.652581,1,cluster2
2.170828,0.327301,1,cluster2
-0.735609,-0.16305,1,cluster2
-0.369154,-1.393933,1,cluster1
0.334358,1.742619,0,cluster2
0.350018,1.220604,1,cluster2
2.267255,-0.483507,1,cluster2
0.500393,0.871813,1,cluster2
-0.692213,-1.579601,1,cluster1
0.431605,2.152518,1,cluster2
2.279776,1.769157,1,cluster2
-0.965501,0.014585,1,cluster2
0.136443,1.584622,0,cluster2
1.634194,0.505651,1,cluster2
-0.916987,0.101469,1,cluster2
0.438604,-0.811697,1,cluster2
-1.086347,0.269642,1,cluster2
0.289404,-1.166241,1,cluster1
-0.39749,-1.483971,0,cluster1
-0.62666,1.278806,1,cluster2
-0.949184,0.200968,1,cluster2
-0.365294,-1.58347,1,cluster1
-0.029996,-1.258015,1,cluster1
0.958482,-1.648694,0,cluster1
-0.994875,-1.532291,1,cluster1
-1.805017,0.004113,1,cluster2
0.713968,0.507795,1,cluster2
-0.855685,0.139119,1,cluster2
0.708412,-1.467905,1,cluster1
0.357455,-1.271345,1,cluster1
-0.094925,-0.166846,0,cluster2
0.56909,-0.081708,1,cluster2
-1.253104,-1.444693,1,cluster1
-0.853633,-1.554369,1,cluster1
0.08385,1.451143,0,cluster2
