@relation 'AT: Aviation_Accident_Database_&_Synopses.arff-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-R2'

@attribute '-0.707Latitude+0.707 Aircraft.Damage' numeric
@attribute ' Longitude' numeric

@data
0.038195,-4
-0.358445,-3
-1.119786,-8
-0.120852,-4
0.04202,-4
-0.021956,-5
-0.323168,-4
1.558118,-6
-0.035403,-4
-0.272475,-4
0.216565,-4
-0.534145,-4
0.083565,-5
-0.390352,-4
-0.796467,-6
1.456764,-5
0.347986,-4
1.760744,-4
-1.430016,-7
0.439035,-4
0.759359,-7
-1.552484,-8
-0.679273,-5
-1.460067,-6
-0.313987,-4
-0.023031,-5
0.194718,-4
-0.441273,-3
1.833039,-5
-1.463486,-6
0.164048,-4
-0.044796,-5
-0.138922,-3
1.853486,-4
0.19003,-5
0.059862,-4
0.08529,-3
1.883814,-4
-0.862869,-4
0.124409,-4
-0.117368,-3
-0.203957,-6
1.889853,-4
-1.518633,-4
2.071219,-4
-0.066268,-4
-0.233031,-3
-0.406436,-4
-0.680022,-5
0.261902,-4
0.304504,-4
-0.308615,-4
-0.082938,-4
-1.643549,-7
0.149869,-5
0.517533,-4
-0.555097,-5
-0.305424,-4
-0.022363,-5
0.017341,-5
-0.704994,-5
0.444977,-4
-0.493887,-4
0.225518,-4
1.918667,-4
1.610586,-6
-0.090491,-4
-0.813722,-6
-0.195785,-4
0.064632,-4
-0.667927,-5
-0.498494,-3
0.00593,-5
0.213114,-4
-0.405557,-4
-0.316006,-5
-0.684027,-4
0.052114,-4
0.370793,-4
2.322633,-5
1.426957,-3
-0.60802,-3
-0.617869,-5
-0.306092,-5
-0.325757,-3
-0.356899,-4
-0.33795,-5
-0.280078,-3
-0.606685,-4
-0.162233,-5
1.393374,-3
-0.623338,-5
-1.544702,-7
0.233928,-7
-0.390971,-3
-0.741036,-4
1.568081,-4
1.860209,-5
-0.33012,-5
1.463797,-5
-0.457666,-5
3.99543,7
1.68293,-4
-0.022184,-5
0.056965,-4
-0.004912,-4
1.958046,-4
-0.307687,-5
-2.073408,-5
-0.07807,-4
-0.09334,-4
-0.000061,-4
-0.095701,-4
-0.804297,-6
0.006027,-4
0.197844,-4
-0.498462,-3
-0.276854,4
-0.37912,-3
0.024651,-5
0.038911,-4
-0.607499,-4
-1.578677,-7
0.25347,-4
-0.564457,0
-0.289829,-5
0.390246,-4
0.100267,-4
-0.301322,-3
0.014623,-4
-1.603584,-7
-0.077794,-4
2.848633,-8
0.114983,-4
-0.356101,-3
0.126737,-5
0.227146,-4
-1.58514,-7
-0.459278,-4
-1.571823,-8
0.040832,-5
-0.087496,-5
-0.395724,-4
0.474702,-4
0.039611,-5
-0.045919,-4
-0.274201,-6
-1.308786,4
-0.453222,-5
-1.605586,-7
-1.685191,-8
1.713697,-5
-0.240275,-4
-0.445131,-3
-0.665387,-5
-1.643549,-7
-0.13381,-4
1.857963,-5
0.037902,-4
-0.405541,-5
-0.249278,-3
-0.309673,-3
1.030952,0
-0.666494,0
1.307518,-4
0.221002,-7
0.049297,-5
0.077411,-4
-0.33095,-3
-2.11377,-7
-0.793162,-4
-0.225087,-4
0.312042,-4
-0.351852,-4
-0.229043,-4
0.057258,-5
-0.615525,-3
1.754167,-5
-1.743926,-7
-1.331049,-4
-0.017301,-5
-0.11911,-4
0.352935,-4
-0.344396,-3
-0.10047,-5
4.767085,-3
0.026865,-5
-1.643533,-7
-0.776753,-6
-0.58002,-3
1.315918,-4
-0.308354,-3
-0.249864,-3
-0.33012,-5
-0.220317,-6
-0.465431,-4
-1.432963,-7
0.336591,-4
0.090027,-4
0.791331,-7
5.184887,-2
-0.499992,-4
-1.636565,-8
-1.615289,-7
-1.433288,-7
0.399656,-4
-0.135584,-5
0.340416,-4
0.246356,-5
1.322494,-3
0.004025,-5
-0.264971,-3
1.900213,-3
-0.806218,-6
0.06302,-4
1.669988,-4
-0.551011,-4
-0.38231,-3
4.083337,-2
0.77217,-7
-0.265947,-5
-2.095857,-4
-0.041524,-4
5.181013,-2
4.758213,6
-0.462973,-3
-0.513357,-5
-0.179147,-6
-0.413403,-6
-0.384785,-3
0.065006,-4
0.061767,-5
0.100137,-4
0.058104,-5
-0.467857,-4
1.12332,-4
-0.463836,-3
-0.485341,-4
-0.405589,-5
-0.102798,-5
-0.400429,-5
-0.188475,-3
-0.54598,-4
-0.239461,-3
-0.341303,-5
3.733607,-3
0.165335,-4
2.005744,-4
-0.265378,-3
-3.409319,-7
-0.276203,-5
0.219381,-4
-0.822497,-5
-0.342085,4
-0.274722,-4
-0.211592,-3
-1.841454,-7
3.408862,-2
1.966153,-4
-0.449462,-4
-0.275096,-3
-0.610169,-6
-1.377435,-6
0.338495,-4
-0.049468,-5
1.833821,-5
0.347449,-4
-0.039505,-3
-0.235229,-4
-0.617934,-3
0.255456,-4
0.384581,-5
0.126802,-5
-0.010512,-4
-0.386396,-5
-0.964272,0
-0.018424,-4
0.085258,-4
-0.235473,-4
0.003634,-5
-0.310178,-5
1.88567,-5
-0.161191,-6
-0.204705,-3
0.268756,-4
-0.656092,-5
-0.112305,-4
1.576351,-3
-1.563482,-4
1.656086,-4
-2.524411,-1
0.211014,-4
-0.143968,-5
-0.300492,-6
1.690516,-5
0.650598,5
-0.772227,-6
0.044316,-4
-0.334873,-3
0.39767,-4
-0.453271,-4
-0.71652,-5
0.116416,-5
-2.001292,-6
0.246421,-4
-0.355043,-5
2.329747,-4
0.095172,4
1.751937,-4
-0.240112,-4
0.279597,-4
-0.439857,-6
0.453474,-4
-0.35138,-3
-0.765764,-6
-0.43831,-4
-0.836171,-5
1.670232,-4
-0.331194,-3
-0.247861,-6
-1.262879,-6
0.271865,-5
-0.454362,-6
2.699907,-3
1.035771,-6
-0.208189,-6
-0.757153,-6
-0.032652,-4
-0.16334,-6
-0.24695,-5
-0.007712,-5
1.557092,-4
-0.104329,-3
-0.003838,-5
1.733086,-4
0.298644,-4
1.466711,-5
-1.474474,-7
-0.204575,-5
1.812902,-4
1.529206,-5
-0.371615,-3
-0.618357,-4
-0.310943,-6
-0.165098,-4
-0.82686,-6
-0.420355,-4
0.048402,-5
-0.522376,-5
-0.480197,-3
1.380497,-4
-0.199691,-6
-0.48241,-4
-0.692948,-4
0.42427,-4
-0.013898,-5
-0.159482,-6
-0.40305,-5
-0.675806,-5
2.20977,-4
-0.721713,-5
-0.540348,-5
-0.26248,-5
-2.353376,-5
0.046318,-4
-0.223426,-6
-0.202491,-5
-0.188443,-5
2.089728,-4
0.780538,-7
-0.270636,-5
0.474605,-4
-0.384166,5
-0.948855,-6
-0.165733,-3
-0.139687,-3
0.12659,-5
1.392527,-5
0.851954,-7
-0.219829,-6
-0.428201,-4
2.041281,-4
0.115537,-4
-0.774848,-6
-1.60347,-7
0.298644,-4
0.192944,-4
-0.297757,-4
-0.401585,-3
-0.087887,-5
0.364428,-4
-0.145466,-3
0.367798,-4
-0.189826,-5
1.87906,-5
-0.829285,-5
-0.024284,-4
-0.401569,-3
-0.427924,-3
-0.814195,-5
-0.274999,-5
-0.516157,-3
-0.400331,-4
-0.671964,0
1.506009,-5
-0.082677,-4
0.047474,-4
0.057241,-5
-0.310275,-5
-0.241578,-3
1.865304,-4
2.152126,-4
-0.097963,-5
-0.644306,5
-0.155689,-5
-0.304106,-3
-0.774978,-6
0.048027,-5
2.060465,5
-0.239233,-4
1.672088,-5
1.520302,-6
-0.108952,-4
2.354123,-3
1.938381,-5
-0.657964,-4
-0.575413,-6
4.657793,8
1.832665,-5
0.085941,-5
